bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P796,S58,7,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0
P796,S58,7,794.49,794.49,0,1,0,0,794.49,794.49,0,0.0,0,1,0.0,0.0
P796,S58,7,794.81,0.31999999999993634,0,1,0,0,794.81,794.81,0,1.0,0,2,0.0,1.3199999999999363
P796,S58,7,795.1,0.2900000000000773,0,1,0,0,795.1,795.1,0,2.3199999999999363,0,3,0.0,2.6100000000000136
P796,S58,7,795.46,0.36000000000001364,0,1,0,0,795.46,795.46,0,3.6100000000000136,0,4,0.0,3.9700000000000273
P796,S58,7,795.75,0.2899999999999636,0,1,0,0,795.75,795.75,0,4.970000000000027,0,5,0.0,5.259999999999991
P796,S58,7,796.24,0.4900000000000091,0,1,0,0,796.24,796.24,0,6.259999999999991,0,6,0.0,6.75
P796,S58,7,796.74,0.5,0,1,0,0,796.74,796.74,0,7.75,0,7,0.0,8.25
P796,S58,7,798.29,1.5499999999999545,1,0,0,0,798.29,798.29,0,0.0,1,7,0.0,0.0
P796,S58,7,798.62,0.3300000000000409,1,0,0,0,798.62,798.62,1,0.0,2,7,0.3300000000000409,0.0
P796,S58,7,798.7,0.08000000000004093,1,0,0,0,798.7,798.7,2,0.0,3,7,0.41000000000008185,0.0
P796,S58,7,799.16,0.4599999999999227,1,0,0,0,799.16,799.16,3,0.0,4,7,0.8700000000000045,0.0
P796,S58,7,799.25,0.09000000000003183,1,0,0,0,799.25,799.25,4,0.0,5,7,0.9600000000000364,0.0
P796,S58,7,800.05,0.7999999999999545,1,0,0,0,800.05,800.05,5,0.0,6,7,1.759999999999991,0.0
P796,S58,7,801.77,1.7200000000000273,0,1,0,0,801.77,801.77,0,0.0,6,8,0.0,0.0
P796,S58,7,801.9,0.12999999999999545,0,1,0,0,801.9,801.9,0,1.0,6,9,0.0,1.1299999999999955
P796,S58,7,802.06,0.15999999999996817,0,1,0,0,802.06,802.06,0,2.1299999999999955,6,10,0.0,2.2899999999999636
P796,S58,7,802.16,0.10000000000002274,0,1,0,0,802.16,802.16,0,3.2899999999999636,6,11,0.0,3.3899999999999864
